Unnamed: 0,Column1,Wind Farm Name,Number of Turbines,Rotor diameter,Minimum hub height,Maximum hub height,Cut-in wind speed,Cut-off wind speed,Rated wind speed,Rated power,Url,Manufacturer,Unnamed: 13,Geometry,Latitude,Longitude,geometry,COUNTY
276,277,Scartaglen Wind Farm,12.0,92.0,78.0,138.0,2.0,25.0,13.0,"2,350",https://www.thewindpower.net/windfarm_en_29938_scartaglen.php,Enercon,,POINT (-9.315160166566779 52.16251539500141),52.16251539500141,-9.31516016656678,POINT (-9.31516016656678 52.16251539500141),KERRY
277,279,Seltanaveeny Wind Farm,2.0,71.0,57.0,113.0,2.0,25.0,15.5,"2,300",https://www.thewindpower.net/windfarm_en_18141_seltenaveeny.php,Enercon,,POINT (-8.116665541328503 54.10931795592608),54.10931795592608,-8.116665541328503,POINT (-8.116665541328503 54.10931795592608),ROSCOMMON
278,278,Seecon,,,,,,,,,,,,POINT (-9.372283421036292 53.35260852544229),53.35260852544229,-9.372283421036292,POINT (-9.372283421036292 53.35260852544229),GALWAY
279,279,Seltanaveeny Wind Farm,,,,,,,,,,https://www.thewindpower.net/windfarm_en_18141_seltenaveeny.php,,POINT (-8.116665541328503 54.10931795592608),54.10931795592608,-8.116665541328503,POINT (-8.116665541328503 54.10931795592608),ROSCOMMON
280,280,Shalvey Poultry WT,,,,,,,,,,,,POINT (-7.056220373471763 54.02432177948901),54.02432177948901,-7.056220373471763,POINT (-7.056220373471763 54.02432177948901),CAVAN
281,281,Shannagh (Kilcar),3.0,44.0,45.0,55.0,3.0,25.0,17.0,900,https://www.thewindpower.net/windfarm_en_11135_shannagh.php,Enercon,,POINT (-8.582709111329597 54.66827313467795),54.66827313467795,-8.582709111329597,POINT (-8.582709111329597 54.66827313467795),DONEGAL
282,282,"Skehanagh Wind Farm
Wind",5.0,52.0,40.0,65.0,3.0,25.0,14.0,850,https://www.thewindpower.net/windfarm_en_3828_skehanagh.php,Vestas,,POINT (-7.983232484869579 53.02006298613971),53.02006298613971,-7.983232484869579,POINT (-7.983232484869579 53.02006298613971),TIPPERARY
283,283,Skrine Wind Farm,2.0,71.0,57.0,113.0,2.0,25.0,15.5,"2,300",https://www.thewindpower.net/windfarm_en_18142_skrine.php,Enercon,,POINT (-8.181871968776871 53.56925659723377),53.56925659723377,-8.181871968776871,POINT (-8.181871968776871 53.56925659723377),ROSCOMMON
284,284,Sliabh Bawn,20.0,101.0,74.5,99.5,3.0,25.0,12.5,"3,200",https://www.thewindpower.net/windfarm_en_24390_sliabh-bawn.php,Siemens,,POINT (-8.053792117724766 53.74907589288794),53.74907589288794,-8.053792117724766,POINT (-8.053792117724766 53.74907589288794),ROSCOMMON
285,285,Slievereagh Wind Farm (1),0.0,71.0,57.0,113.0,2.0,25.0,15.5,"2,300",https://www.thewindpower.net/windfarm_en_17449_slievereagh.php,Enercon,,POINT (-8.389333880751375 52.37308406954953),52.37308406954953,-8.389333880751375,POINT (-8.389333880751375 52.37308406954953),LIMERICK
286,286,Slievereagh Wind Farm (2),0.0,71.0,57.0,113.0,2.0,25.0,15.5,"2,300",https://www.thewindpower.net/windfarm_en_22491_slievereagh-2.php,Enercon,,POINT (-8.389333880751375 52.37308406954953),52.37308406954953,-8.389333880751375,POINT (-8.389333880751375 52.37308406954953),LIMERICK
287,287,Sonnagh Old Phase 1,9.0,52.0,40.0,65.0,3.0,25.0,14.0,850,https://www.thewindpower.net/windfarm_en_1718_sonnagh-old.php,Vestas,,POINT (-8.637908638889531 53.13074213056948),53.13074213056948,-8.637908638889531,POINT (-8.637908638889531 53.13074213056948),GALWAY
288,288,Sorne Hill (2),3.0,71.0,57.0,113.0,2.0,25.0,15.5,"2,300",https://www.thewindpower.net/windfarm_en_3923_sorne-hill-ii.php,Enercon,,POINT (-7.355484815507949 55.13100005546953),55.13100005546953,-7.355484815507949,POINT (-7.355484815507949 55.13100005546953),DONEGAL
289,289,Sorne Hill Wind Farm,16.0,70.0,64.0,113.0,2.0,25.0,14.0,"2,000",https://www.thewindpower.net/windfarm_en_3840_sorne-hill.php,Enercon,,POINT (-7.355602459775861 55.12661626677207),55.12661626677207,-7.355602459775861,POINT (-7.355602459775861 55.12661626677207),DONEGAL
290,290,Sorrell Island (Glenmore) WF Ext,,,,,,,,,,,,POINT (-9.26414675050163 52.7661248268654),52.7661248268654,-9.26414675050163,POINT (-9.26414675050163 52.7661248268654),CLARE
291,291,Sorrell Island (Prev Glenmore),,,,,,,,,,,,POINT (-9.26414675050163 52.7661248268654),52.7661248268654,-9.26414675050163,POINT (-9.26414675050163 52.7661248268654),CLARE
292,292,Spion Kop Wind Farm,2.0,42.0,40.5,53.0,4.5,25.0,16.0,600,https://www.thewindpower.net/windfarm_en_1727_spion-kop.php,Vestas,,POINT (-8.13828123668295 54.13456303218253),54.13456303218253,-8.13828123668295,POINT (-8.13828123668295 54.13456303218253),LEITRIM
293,293,"St Patricks Missionary Society, Co. Wicklow",0.0,42.0,40.5,53.0,4.5,25.0,16.0,600,https://www.thewindpower.net/windfarm_en_24919_st-patricks-missionary-society.php,Vestas,,POINT (-6.558350818867698 52.90159700766657),52.90159700766657,-6.558350818867698,POINT (-6.558350818867698 52.90159700766657),WICKLOW
294,294,Taghart Wind Farm (formerly Cregg WF),0.0,42.0,40.5,53.0,4.5,25.0,16.0,600,https://www.thewindpower.net/windfarm_en_7233_taghart.php,Vestas,,POINT (-6.874385510989415 53.96227784214874),53.96227784214874,-6.874385510989415,POINT (-6.874385510989415 53.96227784214874),CAVAN
295,295,"Taurbeg Wind Farm
Wind",11.0,82.4,80.0,100.0,3.5,25.0,17.0,"2,300",https://www.thewindpower.net/windfarm_en_3834_taurbeg.php,Siemens,,POINT (-9.135498732100299 52.25023667303629),52.25023667303629,-9.1354987321003,POINT (-9.1354987321003 52.25023667303629),CORK
296,296,Teevurcher Wind Farm,5.0,82.0,58.5,80.0,4.0,22.0,14.5,"2,050",https://www.thewindpower.net/windfarm_en_26532_teevurcher.php,Power Blades,,POINT (-6.919937999272139 53.88258094684267),53.88258094684267,-6.919937999272139,POINT (-6.919937999272139 53.88258094684267),MEATH
297,297,"Templederry Wind Farm
Wind",2.0,71.0,57.0,113.0,2.0,25.0,15.5,"2,300",https://www.thewindpower.net/windfarm_en_17359_templederry.php,Enercon,,POINT (-8.147873184978732 52.77731564217861),52.77731564217861,-8.147873184978732,POINT (-8.147873184978732 52.77731564217861),TIPPERARY
298,298,Tesco Donabate,0.0,71.0,57.0,113.0,2.0,25.0,15.5,"2,300",https://www.thewindpower.net/windfarm_en_29955_tesco-donabate.php,Enercon,,POINT (-6.190919279174804 53.48883358622148),53.48883358622148,-6.190919279174804,POINT (-6.190919279174804 53.48883358622148),DUBLIN
299,299,Three Trees,,,,,,,,,,,,POINT (-7.262612809659485 55.12561291429262),55.12561291429262,-7.262612809659485,POINT (-7.262612809659485 55.12561291429262),DONEGAL
300,300,Tournafulla (2) Wind Farm,13.0,71.0,57.0,113.0,2.0,25.0,15.5,"2,300",https://www.thewindpower.net/windfarm_en_3831_tournafulla-ii.php,Enercon,,POINT (-9.16178639187259 52.37563763802461),52.37563763802461,-9.16178639187259,POINT (-9.16178639187259 52.37563763802461),LIMERICK
301,301,"Tournafulla Wind Farm (1)
Wind",5.0,71.0,57.0,113.0,2.0,25.0,15.5,"2,300",https://www.thewindpower.net/windfarm_en_3832_tournafulla.php,Enercon,,POINT (-9.16178639187259 52.37563763802461),52.37563763802461,-9.16178639187259,POINT (-9.16178639187259 52.37563763802461),LIMERICK
302,302,Tullabrack Wind Farm,6.0,71.0,57.0,113.0,2.0,25.0,15.5,"2,300",https://www.thewindpower.net/windfarm_en_27829_tullabrack-wind-farm.php,Enercon,,POINT (-9.478093407374404 52.67925716357632),52.67925716357632,-9.478093407374404,POINT (-9.478093407374404 52.67925716357632),CLARE
303,303,Tullow Mushroom Growers Ltd,0.0,71.0,57.0,113.0,2.0,25.0,15.5,"2,300",https://www.thewindpower.net/windfarm_en_203_tullow-mushroom-growers-ltd.php,Enercon,,POINT (-6.758990558960259 52.84718305435683),52.84718305435683,-6.758990558960259,POINT (-6.758990558960259 52.84718305435683),CARLOW
304,304,Tullynamalra Wind Farm,,,,,,,,,,,,POINT (-6.813136405811043 54.06044122354747),54.06044122354747,-6.813136405811043,POINT (-6.813136405811043 54.06044122354747),MONAGHAN
305,305,Tullynamoyle,4.0,71.0,57.0,113.0,2.0,25.0,15.5,"2,300",https://www.thewindpower.net/windfarm_en_19363_tullynamoyle.php,Enercon,,POINT (-8.13490850296559 54.22673293672712),54.22673293672712,-8.13490850296559,POINT (-8.13490850296559 54.22673293672712),LEITRIM
306,306,Tullynamoyle 2 Wind Farm,5.0,71.0,57.0,113.0,2.0,25.0,15.5,"2,300",https://www.thewindpower.net/windfarm_en_27254_tullynamoyle-2.php,Enercon,,POINT (-8.120575907760283 54.22890467263275),54.22890467263275,-8.120575907760283,POINT (-8.120575907760283 54.22890467263275),LEITRIM
307,307,Tullynamoyle Wind Farm 3 (Carrane Hill Merged Capacity),6.0,71.0,57.0,113.0,2.0,25.0,15.5,"2,300",https://www.thewindpower.net/windfarm_en_27255_tullynamoyle-3.php,Enercon,,POINT (-8.13490850296559 54.22673293672712),54.22673293672712,-8.13490850296559,POINT (-8.13490850296559 54.22673293672712),LEITRIM
308,308,Tullynamoyle Wind Farm 3 (Formerly Geevagh 2),,,,,,,,,,,,POINT (-8.13490850296559 54.22673293672712),54.22673293672712,-8.13490850296559,POINT (-8.13490850296559 54.22673293672712),LEITRIM
309,309,"Tursillagh (2) Wind Farm
Wind",8.0,52.0,40.0,65.0,3.0,25.0,14.0,850,https://www.thewindpower.net/windfarm_en_1724_tursillagh.php,Vestas,,POINT (-9.606067177272932 52.31471871219317),52.31471871219317,-9.606067177272932,POINT (-9.606067177272932 52.31471871219317),KERRY
310,310,Tursillagh Wind Farm,8.0,52.0,40.0,65.0,3.0,25.0,14.0,850,https://www.thewindpower.net/windfarm_en_1721_tursillagh.php,Vestas,,POINT (-9.596714307505197 52.31364095429129),52.31364095429129,-9.596714307505197,POINT (-9.596714307505197 52.31364095429129),KERRY
311,311,Uggool,,,,,,,,,,,,POINT (-9.352753165512247 53.36676233851839),53.36676233851839,-9.352753165512247,POINT (-9.352753165512247 53.36676233851839),GALWAY
312,312,"WEDcross Wind Farm
Wind",2.0,82.0,78.0,138.0,2.0,25.0,14.0,"2,300",https://www.thewindpower.net/windfarm_en_1673_wedcross.php,Enercon,,POINT (-9.228600248520692 52.15307519294701),52.15307519294701,-9.228600248520692,POINT (-9.228600248520692 52.15307519294701),CORK
313,314,Woodhouse,3.0,90.0,65.0,80.0,3.0,25.0,13.5,"2,500",https://www.thewindpower.net/windfarm_en_22883_woodhouse.php,"LM Glasfiber, Nordex",,POINT (-7.777068081525129 52.08133005156486),52.08133005156486,-7.777068081525129,POINT (-7.777068081525129 52.08133005156486),WATERFORD
