Column1,Wind Farm Name,GPS Coordinates,Number of Turbines,Rotor diameter,Minimum hub height,Maximum hub height,Cut-in wind speed,Cut-off wind speed,Rated wind speed,Rated power,Url,Manufacturer,
36,Beale Hill (2),POINT (-9.633419546371108 52.56357034375535),3,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_1723_beal-hill.php,Vestas,
37,Beale Hill (3) Wind Farm,POINT (-9.635935497513215 52.56498284110891),3,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_25200_beal-hill.php,Vestas,
38,Beallough Wind Farm,POINT (-7.341297916261948 52.27330245509233),2,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_3854_beallough.php,Vestas,
39,"Beam Hill Wind Farm
Wind",POINT (-7.430812487600621 55.19066290887727),8,103,60,78,3.5,25,16,"1,750",https://www.thewindpower.net/windfarm_en_1851_beam-hill.php,GE Energy,
40,Beenageeha Wind Farm,POINT (-9.564541785204923 52.33340758200742),6,47,40,55,4.5,25,14,660,https://www.thewindpower.net/windfarm_en_1720_beenageeha.php,"Hansen, Flender, Valmet",
41,Beenanaspuck &  Tobertoreen,POINT (-9.222233168551567 52.43442648931723),,,,,,,,,,,
42,Bellacorrick Wind Farm,POINT (-9.550890627719653 54.13188601747368),20,31,31,35,5.5,23,15,300,https://www.thewindpower.net/windfarm_en_1732_bellacorick.php,LM Glasfiber,
43,Bindoo,POINT (-7.136913713299223 54.00494273224134),,,,,,,,,,,
44,Black Banks (1),POINT (-8.195080608068359 54.14422494567684),8,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_1728_blackbanks.php,Vestas,
45,Black Banks (2),POINT (-8.195080608068359 54.14422494567684),8,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_1729_blackbanks.php,Vestas,
46,Black Lough Wind farm,POINT (-8.955458555333573 54.15886064904222),,,,,,,,,,,
47,Boggeragh,POINT (-8.920661904069759 52.03491431153052),19,90,65,105,3.5,25,16.5,"3,000",https://www.thewindpower.net/windfarm_en_11134_boggeragh.php,Vestas,
48,Boggeragh,POINT (-8.908912421650486 52.03769330444162),,,,,,,,,,,
49,Boolard Wind Farm,POINT (-8.757343565381325 52.32471973025979),,,,,,,,,,,
50,Boolinrudda,POINT (-9.289101515208174 52.83082419362944),,,,,,,,,,,
51,Booltiagh,POINT (-9.246021694542211 52.78006879669262),13,90,65,105,3.5,25,16.5,"3,000",https://www.thewindpower.net/windfarm_en_1696_booltiagh.php,Vestas,
52,Booltiagh,POINT (-9.240872842387803 52.77415449325298),6,90,65,105,3.5,25,16.5,"3,000",https://www.thewindpower.net/windfarm_en_21325_booltiagh-2.php,Vestas,
53,Boolynagleragh (1),POINT (-9.152658385691829 52.78037443172728),18,90,65,105,3.5,25,16.5,"3,000",https://www.thewindpower.net/windfarm_en_32647_boolynagleragh.php,Vestas,
54,Bruckana,POINT (-7.670579972250433 52.78503954445071),14,101,74.5,142.5,3.5,25,14.5,"3,000",https://www.thewindpower.net/windfarm_en_22493_bruckana.php,Siemens,
55,Bunnahowen Wind Farm (Temp),POINT (-9.890284267869893 54.19183190518746),,,,,,,,,,,
56,Bunnyconnellan Wind Farm,POINT (-8.993998168382737 54.1007406733569),12,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_7257_bunnyconnellan.php,Enercon,
57,Burtonport Harbour Single Turbine,POINT (-8.440190638715835 54.98065604631591),0,47,40,55,4.5,25,14,660,https://www.thewindpower.net/windfarm_en_1710_burtonport.php,"Hansen, Flender, Valmet",
58,Burtonstown,POINT (-6.510788545969492 53.61715868427295),,,,,,,,,,,
59,Burtonstown Autoproducer,POINT (-6.510788545969492 53.61715868427295),,,,,,,,,,,
60,"Caherdowney Wind Farm
Wind",POINT (-9.118224057321447 52.00257814719278),4,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_6701_caher-downey.php,Enercon,
61,Cahermurphy Wind Farm,POINT (-9.336598386262132 52.76817093826488),,,,,,,,,,,
62,Cappawhite A Wind Farm (Gate 2),POINT (-8.152870705143741 52.59595968498831),15,103,69,94,4,25,12.5,"3,450",https://www.thewindpower.net/windfarm_en_25196_cappawhite-a.php,GE Energy,
63,Cappawhite A Wind Farm (Gate 3),POINT (-8.152870705143741 52.59595968498831),,,,,,,,,,,
64,"Cappawhite B Wind Farm (Cappagh White)
Wind",POINT (-8.163075979098073 52.6015546317536),4,103,75,100,4,25,13,"3,450",https://www.thewindpower.net/windfarm_en_25198_cappawhite-b.php,GE Energy,
65,Cark,POINT (-7.896798847494533 54.89689115252893),25,43,40,56.5,3,25,15.5,600,https://www.thewindpower.net/windfarm_en_1705_cark.php,LM Glasfiber,
66,Carnsore Wind Farm,POINT (-6.361852168504458 52.17841049573332),14,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_411_carnsore.php,Vestas,
67,"Carraigcannon Wind Farm
Wind",POINT (-8.892134695785108 52.06693743434548),10,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_1683_carrigcannon.php,Enercon,
68,Carrane Hill Wind Farm,POINT (-8.233405356677938 54.13884617627499),4,52,44,65,4,25,16,850,https://www.thewindpower.net/windfarm_en_1852_carranne-hill.php,Gamesa,
69,Carrickallen Wind Farm,POINT (-7.170746434533928 54.01578462299731),2,92.5,63.75,100,3.5,22,13,"2,050",https://www.thewindpower.net/windfarm_en_29941_carrickallen.php,Power Blades,
70,Carrickeeny Wind Farm,POINT (-8.277432774204518 54.33092823319221),4,92.5,63.75,100,3.5,22,13,"2,050",https://www.thewindpower.net/windfarm_en_17349_carrickeeney.php,Power Blades,
71,"Carrig Wind Farm
Wind",POINT (-7.97835411724381 53.02927429847751),3,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_3847_carrig.php,Vestas,
72,Carrons (A&B) Wind Farm,POINT (-9.069659017529448 52.54102715700549),2,82,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_17367_carrons.php,Enercon,
73,Carrowleagh Wind Farm (1),POINT (-8.954306822612873 54.13342111765927),14,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_1688_carrowleagh-1.php,Enercon,
74,Carrowleagh Wind Farm Ext. (2),POINT (-8.954306822612873 54.13342111765927),,,,,,,,,,,
75,Carrownaweelaun Wind Farm,POINT (-9.724425798086843 52.63405779034721),2,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_18633_carrownaweelaun-wind-farm.php,Enercon,
76,Castledockrell,POINT (-6.637558914747097 52.58797882004605),7,82,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_15879_castledockrell.php,Enercon,
77,Castledockrell,POINT (-6.637558914747097 52.58797882004605),7,82,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_18010_castledockrell.php,Enercon,
78,Castledockrell,POINT (-6.637558914747097 52.58797882004605),7,82,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_18011_castledockrell.php,Enercon,
79,Castledockrell,POINT (-6.637558914747097 52.58797882004605),7,82,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_18048_castledockrell.php,Enercon,
80,Castlepook (1),POINT (-8.542933071496421 52.28679919454638),14,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_26592_castlepook.php,"LM Glasfiber, Nordex",
81,Clahane,POINT (-9.547748102565169 52.37859312015904),20,70,64,113,2,25,14,"2,000",https://www.thewindpower.net/windfarm_en_3827_clahane.php,Enercon,
82,Cleanrath Wind Farm,POINT (-9.138907455022906 51.87628428433515),,,,,,,,,,,
83,Cloghaneleskirt Wind Farm,POINT (-9.533183362927543 52.34315861062158),5,82,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_29947_cloghaneleskirt.php,Enercon,
84,Cloghboola,POINT (-9.438120946412784 52.33051972135152),16,82,59,84,2,25,17,"3,000",https://www.thewindpower.net/windfarm_en_18501_cloghboola.php,Enercon,
85,Clogheravaddy Wind Farm (Phase 1),POINT (-8.269181874084007 54.71453357934305),3,103,75,100,3,25,13,"3,600",https://www.thewindpower.net/windfarm_en_19303_clogheravaddy.php,GE Energy,
86,Clogheravaddy Wind Farm (Phase 2),POINT (-8.272489077498033 54.71014155691302),3,103,75,100,3,25,13,"3,600",https://www.thewindpower.net/windfarm_en_32462_clogheravaddy-ii.php,GE Energy,
87,Cloncreen,POINT (-7.124993347956691 53.28338830585668),0,47,40,55,4.5,25,14,"3,600",https://www.thewindpower.net/windfarm_en_7401_cloncreen.php,"Hansen, Flender, Valmet",
88,Cloonlusk Wind Farm,POINT (-8.800904408729087 53.46895404938205),2,103,75,100,3,25,13,"3,600",https://www.thewindpower.net/windfarm_en_29948_cloonlusk.php,GE Energy,
89,"Clydaghroe Wind Farm
Wind",POINT (-9.161180974981821 51.99039532805474),2,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_9663_clydraghroe.php,Enercon,
90,Collon Wind Power Limited (Gate 2),POINT (-6.53310366511256 53.78598153091148),0,82,59,84,2,25,17,"3,000",https://www.thewindpower.net/windfarm_en_24927_collon.php,Enercon,
91,Collon Wind Power Limited (Gate 3),POINT (-6.53310366511256 53.78598153091148),,,,,,,,,,,
92,Coollegrean Wind Farm,POINT (-9.268414967115026 52.2642547248321),7,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_23827_coollegrean.php,"LM Glasfiber, Nordex",
93,Cooly Wind Farm,POINT (-7.103685814270579 55.21545354367021),0,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_29949_cooly.php,"LM Glasfiber, Nordex",
94,Coomacheo,POINT (-9.158833281885686 52.0212791130184),18,82.4,58.5,100,3.5,25,15,"2,300",https://www.thewindpower.net/windfarm_en_3836_coomacheo.php,Siemens,
95,Coomacheo,POINT (-9.158833281885686 52.0212791130184),8,82.4,58.5,100,3.5,25,15,"2,300",https://www.thewindpower.net/windfarm_en_6693_coomacheo-extension.php,Siemens,
96,Coomagearlahy,POINT (-9.321381996140953 51.93400502550987),10,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_6695_coomagearlaghy-ii.php,Vestas,
97,Coomagearlahy,POINT (-9.308392619440673 51.88790723712497),13,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_6696_coomagearlaghy-iii.php,"LM Glasfiber, Nordex",
98,Coomagearlahy,POINT (-9.347960886135118 51.93527684746584),,,,,,,,,,,
99,"Coomatallin Wind Farm
Wind",POINT (-9.092664602461152 51.65732872518634),4,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_1700_coomatallin.php,"LM Glasfiber, Nordex",
100,Cordal,POINT (-9.28134190191993 52.22986642322923),12,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_27248_cordal-1.php,"LM Glasfiber, Nordex",
101,Cordal,POINT (-9.276116730695584 52.2319456018478),11,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_27249_cordal-2.php,"LM Glasfiber, Nordex",
102,Corkermore Wind Farm Phase 1,POINT (-8.356188792018861 54.71339271529236),5,80,60,100,3.5,25,15,"2,000",https://www.thewindpower.net/windfarm_en_19357_corkermore.php,Gamesa,
103,CORNEEN Wind Farm,POINT (-7.637573127053639 54.13350387076888),2,70.5,65,100,3.5,25,11,"1,500",https://www.thewindpower.net/windfarm_en_1693_corneen.php,"VEM, Loher",
104,Corrie Mt.,POINT (-8.153060211939458 54.12974675960881),8,42,40.5,53,4.5,25,16,600,https://www.thewindpower.net/windfarm_en_1726_corry-mountain.php,Vestas,
105,Corvin Wind Turbine,POINT (-7.389281112752842 55.13482176851534),,,,,,,,,,,
106,Country Crest,POINT (-6.175441224184424 53.54780218985795),0,48,50,76,3,25,14,800,https://www.thewindpower.net/windfarm_en_1691_country-crest.php,Enercon,
107,"Crocane Wind Farm
Wind",POINT (-8.156606125572253 51.84315518796245),2,48,50,76,3,25,14,800,https://www.thewindpower.net/windfarm_en_1685_crocane.php,Enercon,
108,Crockahenny,POINT (-7.271127409333323 55.14621167358148),10,40,42,65,2.5,25,13.5,500,https://www.thewindpower.net/windfarm_en_1704_crockahenny.php,Enercon,
109,Cronalaght Wind Farm 2,POINT (-8.215930486948135 55.06046762484883),3,47,40,55,4.5,25,14,660,https://www.thewindpower.net/windfarm_en_1702_cronalaght.php,"Hansen, Flender, Valmet",
110,Cronelea Upper Wind Farm,POINT (-6.557413870636472 52.77710438634515),3,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_1742_cronelea-upper.php,Vestas,
111,Cronelea Upper Wind Farm (2),POINT (-6.547339987868869 52.78005554390842),0,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_3921_cronelea-upper-2.php,Vestas,
112,Cronelea Wind Farm,POINT (-6.547589651245881 52.78057094872134),2,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_3850_cronelea-i.php,Enercon,
113,Cronelea Wind Farm (2),POINT (-6.555292344582769 52.77984704323014),2,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_11131_cronelea-ii.php,Enercon,
114,Cuillalea Wind Farm,POINT (-9.07269505010192 53.84850683700273),4,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_1734_cuillalea.php,Vestas,
115,Cuillalea Wind Farm (2),POINT (-9.076004219928125 53.8483513942379),4,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_11137_cuillalea.php,Vestas,
116,Culliagh Wind Farm (Meenbog),POINT (-7.884463617695902 54.87108519832377),18,47,40,55,4.5,25,14,660,https://www.thewindpower.net/windfarm_en_1707_culliagh.php,"Hansen, Flender, Valmet",
117,Currabwee Wind Farm,POINT (-9.121214168914928 51.68146715819464),7,47,40,55,4.5,25,14,660,https://www.thewindpower.net/windfarm_en_1697_currabwee.php,"Hansen, Flender, Valmet",
118,Curraghderrig,POINT (-9.59777967799111 52.55336878568561),0,47,40,55,4.5,25,14,660,https://www.thewindpower.net/windfarm_en_27251_curragh-derrig.php,"Hansen, Flender, Valmet",
119,"CURRAGHGRAIGUE (2) Wind Farm
Wind",POINT (-8.1025230862312 52.79769385030053),3,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_18005_curraghgraigue.php,Vestas,
120,Curraghgraigue Wind Farm,POINT (-8.105187801079305 52.79587598949525),3,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_1740_curraghgraigue.php,Vestas,
121,DePuy 3MW Wind Turbine,POINT (-8.305439262356602 51.82681706444884),0,101,99,149,2,25,13,"3,000",https://www.thewindpower.net/windfarm_en_22488_depuy.php,Enercon,
122,Derrybrien,POINT (-8.607948289841637 53.09369992513383),70,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_1719_derrybrien.php,Vestas,
123,Derrynadivva Extension,POINT (-9.343155220063643 53.91946730466974),,,,,,,,,,,
124,Derrynadivva Wind Farm (prev. sd),POINT (-9.339209260583667 53.90558180618625),,,,,,,,,,,
125,Derrysallagh Wind Farm (Formerly Kilronan 2),POINT (-8.187167736802744 54.09668479276711),,,,,,,,,,,
126,Donaghmede Fr Collins Park Wind Farm,POINT (-6.16214952576344 53.40759139587571),0,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_1675_donaghmede-fr-collins-park.php,Vestas,
127,Dromada,POINT (-9.222233168551567 52.43442648931723),19,82.5,59,100,3.5,20,12,"1,500",https://www.thewindpower.net/windfarm_en_17331_dromada.php,"LM Glasfiber, GE Energy",
128,"Dromdeeveen Wind Farm (1)
Wind",POINT (-9.03912563316182 52.33213233162971),6,80,60,100,3.5,25,14.5,"2,000",https://www.thewindpower.net/windfarm_en_18140_dromdeveen-1.php,Vestas,
129,"Dromdeeveen Wind Farm (2)
Wind",POINT (-9.030245777595129 52.32758983878279),8,80,60,100,3.5,25,14.5,"2,000",https://www.thewindpower.net/windfarm_en_24077_dromdeveen-2.php,Vestas,
130,Drumlough Hill (2) (Lough Doo),POINT (-7.441968858251897 55.20030969459173),12,52,44,65,4,25,16,850,https://www.thewindpower.net/windfarm_en_11115_drumlough-hill-extension.php,Gamesa,
131,"Drumlough Hill Wind Farm
Wind",POINT (-7.438520690305142 55.20423797754429),8,47,40,55,4.5,25,14,660,https://www.thewindpower.net/windfarm_en_1703_drumlough-hill.php,"Hansen, Flender, Valmet",
132,"Dundalk IT Wind Turbine
Wind",POINT (-6.391145453775204 53.98363130608549),0,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_1731_dundalk-it.php,Vestas,
133,Dunmore 2,POINT (-6.53310366511256 53.78598153091148),2,44,45,55,3,25,17,900,https://www.thewindpower.net/windfarm_en_11133_dunmore-(ie).php,Enercon,
134,Dunmore Wind Farm,POINT (-6.53281593382875 53.78770354266177),2,44,45,55,3,25,17,900,https://www.thewindpower.net/windfarm_en_3842_dunmore-(ie).php,Enercon,
135,Enros - Sorne Hill Single Turbine,POINT (-7.355792266608876 55.13527827603005),,,,,,,,,,,
136,Esk Wind Farm Phase 1,POINT (-8.846824263047278 52.01638409932585),8,44,45,55,3,25,17,900,https://www.thewindpower.net/windfarm_en_32648_esk.php,Enercon,
137,Esk Wind Farm Phase 1,POINT (-8.870572798736402 52.0194381196076),,,,,,,,,,,
138,Esk Wind Farm Phase 2,POINT (-8.7860566261151 52.03631167801474),,,,,,,,,,,
139,Faughary Wind Farm,POINT (-8.137586281114555 54.34015415537524),3,82,78,138,2,25,12.5,"2,000",https://www.thewindpower.net/windfarm_en_22460_faughary.php,Enercon,
140,Flughland,POINT (-7.275820006256636 55.14175638690676),4,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_19355_flughland.php,Enercon,
141,Foyle Wind Farm (prev Holmes Hill),POINT (-7.461565725650879 52.63908311597067),4,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_27252_foyle.php,Enercon,
142,Garracummer (2),POINT (-8.148249706643552 52.64372799949334),17,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_24929_garracummer.php,"LM Glasfiber, Nordex",
143,"Garracummer Wind Farm
Wind",POINT (-8.186797797992321 52.63953901892847),17,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_17358_garracummer.php,"LM Glasfiber, Nordex",
144,Garranereagh Wind Farm,POINT (-8.932479024240054 51.81585809416095),4,82,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_21327_garranareagh.php,Enercon,
145,"Gartnaneane (1) Wind Farm
Wind",POINT (-6.927101275840504 53.94436481991163),3,70.5,54.7,100,3,24,13,"1,500",https://www.thewindpower.net/windfarm_en_1694_gartnaneane.php,"LM Glasfiber, GE Energy",
146,"Gartnaneane II Wind Farm
Wind",POINT (-6.968983428433685 53.88907815655331),3,70.5,54.7,100,3,24,13,"1,500",https://www.thewindpower.net/windfarm_en_24075_gartnaneane.php,"LM Glasfiber, GE Energy",
147,Garvagh,POINT (-8.200747106320399 54.15128740497325),13,80,60,100,3.5,25,14.5,"2,000",https://www.thewindpower.net/windfarm_en_18028_garvagh-glebe.php,Vestas,
148,Garvagh,POINT (-8.133526076591682 54.1166687693056),,,,,,,,,,,
149,Geevagh Wind Farm,POINT (-8.268518065801439 54.14228641951959),6,52,44,65,4,25,16,850,https://www.thewindpower.net/windfarm_en_1850_geevagh.php,Gamesa,
150,"Gibbet Hill Wind Farm
Wind",POINT (-6.577870081707594 52.67924977679553),6,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_20344_gibbet-hill.php,"LM Glasfiber, Nordex",
151,Glackmore Hill (1),POINT (-7.260917293459636 55.12488388173428),0,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_6697_glackmore-i.php,"LM Glasfiber, Nordex",
152,"Glackmore Hill (2)
Wind",POINT (-7.268970588472128 55.12260546813781),0,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_6698_glackmore-ii.php,Enercon,
153,"Glackmore Hill (3)
Wind",POINT (-7.269476805304424 55.122356937239),0,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_6699_glackmore-iii.php,Enercon,
154,Glanaruddery 1 (formerly Dromadda More Wind Farm),POINT (-9.461130592627899 52.31189933060623),11,103,69,94,4,25,12.5,"3,450",https://www.thewindpower.net/windfarm_en_29937_glanaruderry.php,GE Energy,
155,Glanaruddery 2 (formerly Dromadda More 2),POINT (-9.461130592627899 52.31189933060623),,,,,,,,,,,
156,Glantaunyalkeen Windfarm,POINT (-9.438238467611495 52.32961937159609),,,,,,,,,,,
157,Glencarbry Wind Farm,POINT (-8.102615981913045 52.62274434811803),5,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_24666_glencarbry-wind-farm.php,"LM Glasfiber, Nordex",
158,Glenough Wind Farm,POINT (-8.069925923109617 52.64681107929903),,,,,,,,,,,
